occ2010,estimate,p.value
20,0.0029153698301208095,0.817474708849711
40,-0.01506976884077088,0.42809410322972863
60,-0.01910425401607008,0.16744175477472026
100,-8.61566112787697e-4,0.9629366743871807
110,-0.017980704631843994,0.1253897510659275
140,0.02605488939650594,0.005381095391824606
160,0.014285610192048796,0.10881516946153194
220,0.041906819692800044,7.594481204175633e-4
300,0.012409955051214087,0.37655863435700665
330,-0.0932601226669253,0.034375542439178654
340,0.010813299414973923,0.40887905988274353
360,-0.06103134379049516,0.19217920069243083
600,-0.0016953942399357842,0.8846652558995973
700,-0.001011657141303049,0.93826534012027
725,-0.04959076048913843,0.058379457112091145
810,0.02914481343911948,0.1899426749457938
820,7.617274641810419e-4,0.966044118102622
830,0.0330771237776722,0.22065375720035393
840,0.06914664373445606,0.0900443580383269
850,0.016845164472623096,0.174817537798397
900,0.029890436921447244,0.4810076066932262
930,-0.02771144177300075,0.13125913143355603
940,-0.013765489071425002,0.31764821616098055
950,-0.12109128058678817,0.018556660823652482
1020,0.019738984347083537,0.015579851514784613
1030,-0.010191015479805719,0.4072838313080346
1050,-0.017910399687264638,0.018669344258903535
1060,-0.010009437798814408,0.5490939592851816
1105,-0.008274404621386186,0.44591071812198235
1400,0.019034658141236824,0.25117040106731875
1420,0.017450004533356347,0.4472585314905412
1760,0.02903125259751422,0.10991485832984703
1800,-0.028710308661767228,0.292866946812139
1910,0.03632042401110758,0.15276526388547754
1930,-0.03715663740381982,0.3430064421439868
2050,-0.0025673896980652963,0.905336639648346
2440,-0.021387814453695742,0.30681730204885416
2550,-0.021537677562368605,0.34872161882772723
2700,0.016769119110300875,0.591316311116695
2760,0.01695687509986521,0.6234888819978937
2810,0.017365961145580405,0.2799285295684943
2920,-0.05489289777574747,0.06702080302446939
3110,0.00680661984690082,0.779554360740959
3140,0.007652858515385343,0.8245639672333253
3200,-0.007129228167293411,0.7966866652278684
3210,0.014111712629814283,0.6122787598304065
3260,-0.009571445186567065,0.8863713648462814
3420,0.0020422674006360044,0.6537608826311654
3535,-0.018917337250121413,0.1286045611462761
3540,0.042644746830324314,0.01891709323760157
3610,0.0021364841261773317,0.9610143166047935
3620,-0.013044643695761683,0.30948039438841063
3630,-0.032711824333562484,0.018684080388091523
3700,0.00799348238950176,0.7358262187636926
3820,-0.005090871932385101,0.7143028172146053
3840,-0.05130686986033964,0.27294305289149384
3900,0.0011049788157275128,0.9838963716176363
3910,0.021117359236979247,0.15202764447990677
4000,0.0027730269324741674,0.7005340789519452
4050,-0.005981552738571575,0.6940245254177244
4120,-0.006387928684060801,0.6643703043171382
4150,0.009222964754145264,0.24449502304664542
4300,0.02017010680809971,0.16345376776622164
4340,0.0316562382891522,0.37080175837735474
4400,-0.017479311390537974,0.14048971756094575
4460,0.03333736554457886,0.4021408458835134
4520,0.0056530540957219905,0.6160521852040941
4610,-0.02123256134613345,0.06901795727147489
4640,-0.02266784456290994,0.314628750240022
4710,0.026382468441019737,0.006202969510817204
4830,0.036050165512791305,0.06790276552136013
4940,0.0034223451351219005,0.7997944907841417
5030,0.04018401223752015,0.511915810059486
5130,0.0886043627346788,0.06260109767048627
5150,0.022632961776758508,0.49182472654097265
5200,0.0753320806731072,0.34023760303604356
5220,0.025457654889578855,0.05753113154612437
5230,0.039146434995042105,0.08386186932616584
5330,0.02822809779634686,0.07985434152711039
5340,-0.07536731834669821,0.0011227735528862284
5420,-0.01044647970671048,0.47199650047158304
