naics,metric,exposure,exposure_z,n_occ,emp,score_coverage,level,weight_source
31,genaiexp_estz_core,0.16885500180042,-0.108606599815324,251,57284484.7982,0.940067480499799,2,cps_occ_ind_2021_2022
32,genaiexp_estz_core,0.21645562647223,0.132168764340618,314,89878078.9313,0.989572446397588,2,cps_occ_ind_2021_2022
33,genaiexp_estz_core,0.228934086339021,0.195287804043287,355,196856231.0582,0.989401118792064,2,cps_occ_ind_2021_2022
42,genaiexp_estz_core,0.250128667763517,0.302495074867988,290,76108067.9877,0.979247157429815,2,cps_occ_ind_2021_2022
44,genaiexp_estz_core,0.155315004566817,-0.177095149851555,331,250402484.2225,0.985360040699471,2,cps_occ_ind_2021_2022
45,genaiexp_estz_core,0.166955262639569,-0.118215935646711,290,121388084.7104,0.968804931758825,2,cps_occ_ind_2021_2022
48,genaiexp_estz_core,0.139011971217644,-0.259559798552234,273,119681385.7299,0.982993693220035,2,cps_occ_ind_2021_2022
49,genaiexp_estz_core,0.158858459212699,-0.159171507281429,210,78869250.5145,0.994527398356905,2,cps_occ_ind_2021_2022
51,genaiexp_estz_core,0.34384039070513,0.77651142176501,251,66527956.6479,0.990411224493961,2,cps_occ_ind_2021_2022
52,genaiexp_estz_core,0.355978738190175,0.837910091553767,274,181417816.5401,0.988317274873097,2,cps_occ_ind_2021_2022
53,genaiexp_estz_core,0.215784596644293,0.128774534699828,238,75911608.2154,0.974879062369595,2,cps_occ_ind_2021_2022
54,genaiexp_estz_core,0.403742763942475,1.07951197752386,359,316003884.9392,0.990673460753455,2,cps_occ_ind_2021_2022
55,genaiexp_estz_core,0.365782106159512,0.887497875517653,70,1939093.3916,0.976903023898706,2,cps_occ_ind_2021_2022
56,genaiexp_estz_core,0.164054810173233,-0.132887119136716,343,157159261.0013,0.988413101534547,2,cps_occ_ind_2021_2022
61,genaiexp_estz_core,0.21557715452997,0.127725242784823,329,326622668.322399,0.992346315386463,2,cps_occ_ind_2021_2022
62,genaiexp_estz_core,0.182629197610839,-0.0389334172662513,340,476470186.4146,0.927716756270876,2,cps_occ_ind_2021_2022
