naics,metric,exposure,exposure_z,n_occ,emp,score_coverage,level,weight_source,thin
623,AIOE,-0.261481832879325,-0.24530620847,194,46779456.3134,0.880432888520817,3,cps_occ_ind_2021_2022,FALSE
624,AIOE,0.361694426163276,0.373027848428263,211,69818293.4088,0.878268876847008,3,cps_occ_ind_2021_2022,FALSE
711,AIOE,0.404573933132167,0.415574173191349,154,19424719.4337,0.94518350760015,3,cps_occ_ind_2021_2022,FALSE
712,AIOE,0.0496741160207015,0.0634319974863179,149,8528541.8115,0.948041790528746,3,cps_occ_ind_2021_2022,FALSE
713,AIOE,-0.261880303081453,-0.245701582480257,231,44693325.3745,0.96907412428119,3,cps_occ_ind_2021_2022,FALSE
721,AIOE,-0.280212885343992,-0.263891716971632,183,27635261.9845,0.989970682333328,3,cps_occ_ind_2021_2022,FALSE
722,AIOE,-0.59573011026,-0.576957310971193,245,214635308.6217,0.998448373484919,3,cps_occ_ind_2021_2022,FALSE
811,AIOE,-0.592632200220614,-0.573883472302336,174,52508494.2182,0.996209340122909,3,cps_occ_ind_2021_2022,FALSE
812,AIOE,-0.379992462332795,-0.362895987015336,192,58676913.5013,0.969894087365974,3,cps_occ_ind_2021_2022,FALSE
813,AIOE,0.782795131479868,0.790856518411866,262,45381457.81,0.945630782366706,3,cps_occ_ind_2021_2022,FALSE
814,AIOE,-1.02067130341918,-0.998596627451225,38,13069120.0898,0.826226581459929,3,cps_occ_ind_2021_2022,FALSE
921,AIOE,0.591330300513681,0.6008794068535,294,37636360.1353,0.964341120107434,3,cps_occ_ind_2021_2022,FALSE
923,AIOE,0.683723176051292,0.69255437156964,230,27647759.1362,0.880165591328379,3,cps_occ_ind_2021_2022,FALSE
928,AIOE,0.544979821726964,0.554889080406534,284,24378100.0798,0.97695635941712,3,cps_occ_ind_2021_2022,FALSE
111,ai_applicability_score,0.120673449453973,-0.468520416721731,146,28827024.2646,0.995963817668366,3,cps_occ_ind_2021_2022,FALSE
112,ai_applicability_score,0.112502303784171,-0.549626777273998,92,18293571.5055,0.995502947354588,3,cps_occ_ind_2021_2022,FALSE
113,ai_applicability_score,0.0971535039588802,-0.701978154055276,82,3162551.2108,0.993972335910891,3,cps_occ_ind_2021_2022,FALSE
114,ai_applicability_score,0.171284825714722,0.0338454321972931,33,379574.5521,0.366116512276229,3,cps_occ_ind_2021_2022,FALSE
115,ai_applicability_score,0.140346388534661,-0.273247861968726,86,3638908.1172,0.990896019770628,3,cps_occ_ind_2021_2022,FALSE
211,ai_applicability_score,0.165091516696926,-0.0276290261599295,78,1508460.1883,1,3,cps_occ_ind_2021_2022,FALSE
212,ai_applicability_score,0.118403365471819,-0.491053150487688,120,3846891.2333,0.992516321079464,3,cps_occ_ind_2021_2022,FALSE
