occ2010,cyclicality_beta,cyclicality_p
4465,-0.00899723606288724,0.724374794344924
4500,0.0202374585261534,0.453665518429776
4510,-0.00589645682227547,0.390085906933004
4520,0.00565305409572199,0.616052185204094
4530,-0.000705656113908183,0.961309894581402
4540,0.0301984745853483,0.134165477036742
4600,0.0165515788898121,0.00101302833553598
4610,-0.0212325613461335,0.0690179572714749
4620,-0.00106258377392878,0.896118863622837
4640,-0.0226678445629099,0.314628750240022
4650,0.0175503169065493,0.282788602441842
4700,0.01016992856877,0.078435464844441
4710,0.0263824684410197,0.0062029695108172
4720,0.00559783048721359,0.180470162901403
4740,0.00554788386169011,0.606080416303991
4750,0.0519174951755975,0.000400846839883808
4760,0.00538100599596497,0.251661083200085
4800,0.010415125348906,0.406434153813332
4810,0.000744011035985253,0.89768686629435
4820,0.0193943931570695,0.29785469021169
4830,0.0360501655127913,0.0679027655213601
4840,0.0234997597159714,0.0224772564457324
4850,0.0126512672306504,0.0157857782363877
4900,-0.00104878876056876,0.943642596383348
4920,0.0437264728111629,3.35796135024156e-05
4930,0.0406042664647396,0.0579227268270086
4940,0.0034223451351219,0.799794490784142
4950,0.00804484120031004,0.523547864510674
4965,-0.0115133331313697,0.599174709814406
5000,-0.000737328351417866,0.887603472812977
5010,0.00191662905738327,0.946106120215091
5020,0.0389468342035793,0.0726673096654561
5030,0.0401840122375202,0.511915810059486
5100,-0.0181122562005738,0.29114300012291
5110,-0.0157258341070946,0.125124681874802
5120,0.00798471789544689,0.232630296734496
5130,0.0886043627346788,0.0626010976704863
5140,-0.00234278578316516,0.829428462809711
5150,0.0226329617767585,0.491824726540973
5160,-0.0140127261080046,0.115972717558439
5200,0.0753320806731072,0.340237603036044
5220,0.0254576548895789,0.0575311315461244
5230,0.0391464349950421,0.0838618693261658
5240,0.0226499132487049,0.00549952230482361
5250,-0.0138557017398253,0.385333146900042
5260,0.00542487723276452,0.734069312583068
5300,-0.00372592131794052,0.790381852159731
5310,-0.00908864307656851,0.538337967374394
5320,0.0078162554598941,0.456938943443509
5330,0.0282280977963469,0.0798543415271104
5340,-0.0753673183466982,0.00112277355288623
5350,0.00751839953723259,0.697117805455497
5360,0.00835360075728352,0.842635793853749
5400,0.0180510496368593,0.0238830426902884
5410,0.0543180524083536,0.00156925744216072
5420,-0.0104464797067105,0.471996500471583
5500,-0.00332039388407336,0.942588893219308
5510,0.0440045055405567,0.0127109142216105
5520,0.0107729376893755,0.220009557578863
5530,-0.0154106476524211,0.503601631974633
5540,0.016828478034629,0.177899490894749
5550,0.0019841246889724,0.763261911449396
5560,0.0370019027518162,0.0712795457556985
5600,0.0162025353308722,0.143339470059364
5610,0.0125559212493243,0.0811515972674772
5620,0.0111072238383233,0.00452612536338704
5630,-0.00104452249651891,0.952962825670084
5700,0.00752893265046422,0.155193301506729
5800,0.0202131418520511,0.0939731289171914
5810,0.0320905571736271,0.0182307939268166
5820,0.00990547878838455,0.677193402010043
5840,0.00851036837583785,0.352373032284813
5850,0.0244999846294101,0.0416939709459296
5860,0.0156930728289409,0.0440294353923092
5900,0.00848387806551325,0.580934097026063
5910,0.0627658292413419,0.0728908774077667
5920,0.0852747315271911,0.214142580191187
5940,0.0177734839716936,0.222987216665751
6005,0.0565467750334388,0.218298642629681
6010,0.0215563426888492,0.719277673300611
6040,-0.00799243814123192,0.672899266268442
6050,0.0519356980664801,0.0149751114273887
6100,-0.118620765153325,0.225599769214831
6120,-0.165292898017888,0.10162965760468
6130,0.0221603951292138,0.273424590520043
6200,0.0276182552447407,0.0140308408219967
6210,-0.00248838171382972,0.900991190215087
6220,0.0494995844374209,0.0176358210366568
6230,0.0651923190990533,0.000496395937921667
6240,0.046085552151977,0.014585418983366
6250,0.0477557296618229,0.0304580947238864
6260,0.0473903258686528,0.000643517784447915
6300,0.042696986166595,0.094645961775373
6320,0.0152319273650136,0.0432179539698015
6330,0.0819403516976257,8.84500394837172e-06
6355,0.0422476748410158,3.52714234242589e-05
6360,0.0329410817141264,0.0822900393961158
6400,0.0581912760949691,0.000286632317918634
6420,0.0445867891189549,0.00298389177921404
6440,0.0431758589750324,1.96004745149504e-05
6460,0.0692936980962698,0.0377843957953575
6515,0.0337948311119963,0.010987285346304
6520,0.0370532605859835,0.00828665504030656
6530,0.0390345452500392,0.0305899623192932
6600,0.0731709864907199,0.00156976894374292
6660,0.0281798297943132,0.11771714523506
6700,-0.0181463266868286,0.528537770452681
6710,-0.012521616641906,0.621800786805373
6720,-0.0217652189628294,0.568017827319843
