occ2010,metric,value,z,pctile
9310,ai_applicability_score,0.128756556215603,-0.38828792572427,0.428251121076233
9350,ai_applicability_score,0.221438624016816,0.531669386454881,0.710762331838565
9360,ai_applicability_score,0.0441872051865519,-1.22771883950458,0.0717488789237668
9410,ai_applicability_score,0.133552041072766,-0.340688196192409,0.443946188340807
9415,ai_applicability_score,0.472999432962713,3.02864869580571,0.997757847533632
9420,ai_applicability_score,0.125337002893674,-0.42223023147475,0.414798206278027
9510,ai_applicability_score,0.0714135172489954,-0.957471903287774,0.177130044843049
9520,ai_applicability_score,0.102174815910534,-0.652136876705223,0.316143497757848
9560,ai_applicability_score,0.0527040968958803,-1.14318062201639,0.0986547085201794
9600,ai_applicability_score,0.0130958578810665,-1.53632991150322,0.015695067264574
9610,ai_applicability_score,0.0387524681390456,-1.28166375253078,0.0605381165919283
9620,ai_applicability_score,0.0538731657267025,-1.13157650651842,0.112107623318386
9630,ai_applicability_score,0.019375993236474,-1.47399361950255,0.0246636771300448
9640,ai_applicability_score,0.0697238239130596,-0.974243710139004,0.172645739910314
9650,ai_applicability_score,0.0950770755756679,-0.722588672569488,0.289237668161435
9720,ai_applicability_score,0.0461200036995614,-1.20853398349958,0.0807174887892377
9750,ai_applicability_score,0.0799182452502172,-0.873054422124106,0.208520179372197
0010,dv_rating_beta,0.507777777777778,0.750661769480903,0.746636771300449
0020,dv_rating_beta,0.480769230769231,0.632401352213985,0.704035874439462
0040,dv_rating_beta,0.476744186046512,0.614777173161474,0.692825112107623
0050,dv_rating_beta,0.475,0.607140028905386,0.690582959641256
0060,dv_rating_beta,0.554084793768809,0.953423029897916,0.829596412556054
0100,dv_rating_beta,0.395733342744212,0.260060715106805,0.580717488789238
0110,dv_rating_beta,0.53030303030303,0.84929150183326,0.788116591928251
0120,dv_rating_beta,0.485055230669266,0.651168157271054,0.710762331838565
0135,dv_rating_beta,0.513157894736842,0.774219307630675,0.757847533632287
0136,dv_rating_beta,0.48,0.629033175772838,0.699551569506727
0137,dv_rating_beta,0.5,0.716605763242645,0.73542600896861
0140,dv_rating_beta,0.4057187015029,0.303782900272432,0.594170403587444
0150,dv_rating_beta,0.585714285714286,1.09191685239896,0.87219730941704
0160,dv_rating_beta,0.486525974025974,0.657607997333603,0.719730941704036
0205,dv_rating_beta,0.36734693877551,0.135767172881683,0.545964125560538
0220,dv_rating_beta,0.444444444444444,0.473348575826516,0.654708520179372
0230,dv_rating_beta,0.431039182046407,0.414651900131123,0.636771300448431
0300,dv_rating_beta,0.442610837438424,0.465319890330515,0.650224215246637
0310,dv_rating_beta,0.416666666666667,0.351719982118451,0.609865470852018
0340,dv_rating_beta,0.456521739130435,0.526230573090891,0.673766816143498
0350,dv_rating_beta,0.428571428571428,0.40384652227905,0.626681614349776
0360,dv_rating_beta,0.530696798493409,0.851015666797997,0.791479820627803
0410,dv_rating_beta,0.443181818181818,0.46782000338524,0.652466367713005
0420,dv_rating_beta,0.392857142857143,0.247466901797253,0.568385650224215
0425,dv_rating_beta,0.422222222222222,0.376045700860064,0.621076233183857
0430,dv_rating_beta,0.459913230107318,0.5410806551022,0.679372197309417
0500,dv_rating_beta,0.543478260869565,0.906980953394398,0.818385650224215
0540,dv_rating_beta,0.519501934081391,0.801997504651296,0.769058295964126
0565,dv_rating_beta,0.526304274931043,0.831782434104073,0.778026905829596
0600,dv_rating_beta,0.5,0.716605763242645,0.73542600896861
0630,dv_rating_beta,0.637839982840807,1.3201559609508,0.912556053811659
0640,dv_rating_beta,0.473684210526316,0.601378674466583,0.688340807174888
0650,dv_rating_beta,0.552631578947368,0.947059940794767,0.823991031390135
0700,dv_rating_beta,0.527860531832726,0.838596706286483,0.7847533632287
0710,dv_rating_beta,0.404761904761905,0.299593441957852,0.591928251121076
0725,dv_rating_beta,0.486486486486487,0.657435096033316,0.717488789237668
0726,dv_rating_beta,0.519230769230769,0.800810174271305,0.766816143497758
0735,dv_rating_beta,0.524590163934426,0.824276977344866,0.773542600896861
0740,dv_rating_beta,0.582840766028136,1.07933477469588,0.867713004484305
0800,dv_rating_beta,0.56,0.979323525652064,0.841928251121076
0820,dv_rating_beta,0.52,0.804178350712451,0.771300448430493
